pk_name, mk_path, license, version
lxc-usernsexec, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-wait, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-top, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-ls, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-monitord, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-user-nic, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
lxc-checkconfig, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, 5.0.3-2
opennds-prpl, feeds/feed_opensource/routing/opennds-prpl/Makefile, GPL-2.0-or-later, gen_10.2.0_v0.1.0-1
libbotan, feeds/feed_opensource/sah/botan/Makefile, BSD-2-Clause, 2.19.4-3
fcgi, feeds/feed_opensource/sah/fcgi/Makefile, MIT, 2.4.2-1
fcgixx, feeds/feed_opensource/sah/fcgi/Makefile, MIT, 2.4.2-1
libpcp, feeds/feed_opensource/sah/libpcp/Makefile, BSD-2-Clause, 2022-02-22-1c783fb83516ebf10ebebd023a490255d35f34fd-1
librnp, feeds/feed_opensource/sah/librnp/Makefile, BSD-2-Clause-NetBSD, 0.17.1-1
libsexpp, feeds/feed_opensource/sah/libsexpp/Makefile, MIT, 0.8.8-1
radvd, feeds/feed_opensource/sah/radvd/Makefile, radvd, 2.19-2
radvdump, feeds/feed_opensource/sah/radvd/Makefile, radvd, 2.19-2
acl-manager, feeds/feed_amx/apps/acl-manager/Makefile, BSD-2-Clause-Patent, v0.7.0-1
amx-cli, feeds/feed_amx/apps/amx-cli/Makefile, BSD-2-Clause-Patent, v0.5.1-1
amx-fcgi, feeds/feed_amx/apps/amx-fcgi/Makefile, BSD-2-Clause-Patent, v1.3.9-1
amxb-inspect, feeds/feed_amx/apps/amxb-inspect/Makefile, BSD-2-Clause-Patent, v1.2.1-1
amxo-cg, feeds/feed_amx/apps/amxo-cg/Makefile, BSD-2-Clause-Patent, v1.5.4-1
amxrt, feeds/feed_amx/apps/amxrt/Makefile, BSD-2-Clause-Patent, v2.2.0-1
dmtui, feeds/feed_amx/apps/dmtui/Makefile, BSD-2-Clause-Patent, v0.3.3-1
libamxa, feeds/feed_amx/libs/libamxa/Makefile, BSD-2-Clause-Patent, v0.11.1-1
libamxb, feeds/feed_amx/libs/libamxb/Makefile, BSD-2-Clause-Patent, v4.11.1-1
libamxc, feeds/feed_amx/libs/libamxc/Makefile, BSD-2-Clause-Patent, v2.1.0-1
libamxd, feeds/feed_amx/libs/libamxd/Makefile, BSD-2-Clause-Patent, v6.5.5-1
libamxj, feeds/feed_amx/libs/libamxj/Makefile, BSD-2-Clause-Patent, v1.0.3-1
libamxm, feeds/feed_amx/libs/libamxm/Makefile, BSD-2-Clause-Patent, v0.1.0-1
libamxo, feeds/feed_amx/libs/libamxo/Makefile, BSD-2-Clause-Patent, v5.0.2-1
libamxp, feeds/feed_amx/libs/libamxp/Makefile, BSD-2-Clause-Patent, v2.3.0-1
libamxrt, feeds/feed_amx/libs/libamxrt/Makefile, BSD-2-Clause-Patent, v0.6.3-1
libamxs, feeds/feed_amx/libs/libamxs/Makefile, BSD-2-Clause-Patent, v0.6.4-1
libamxt, feeds/feed_amx/libs/libamxt/Makefile, BSD-2-Clause-Patent, v1.0.0-1
libamxtui, feeds/feed_amx/libs/libamxtui/Makefile, BSD-2-Clause-Patent, v0.1.7-1
libsahtrace, feeds/feed_amx/libs/libsahtrace/Makefile, BSD-2-Clause-Patent, v1.15.0-1
uriparser, feeds/feed_amx/libs/uriparser/Makefile, BSD-3-Clause, 0.9.3-1
mod-amxb-pcb, feeds/feed_amx/mods/mod-amxb-pcb/Makefile, BSD-2-Clause-Patent, v3.12.0-1
mod-amxb-ubus, feeds/feed_amx/mods/mod-amxb-ubus/Makefile, BSD-2-Clause-Patent, v3.4.0-1
mod-ba-cli, feeds/feed_amx/mods/mod-ba-cli/Makefile, BSD-2-Clause-Patent, v0.13.0-1
mod-dm-cli, feeds/feed_amx/mods/mod-dm-cli/Makefile, BSD-2-Clause-Patent, v0.2.6-1
mod-lua-amx, feeds/feed_amx/mods/mod-lua-amx/Makefile, BSD-2-Clause-Patent, v0.1.11-1
lua-amx, feeds/feed_amx/utilities/lua-amx/Makefile, BSD-2-Clause-Patent, v0.5.5-1
gmap-client, feeds/feed_gmap/apps/gmap-client/Makefile, BSD-2-Clause-Patent, v1.3.1-1
gmap-mod-ethernet-dev, feeds/feed_gmap/apps/gmap-mod-ethernet-dev/Makefile, BSD-2-Clause-Patent, v1.20.0-1
gmap-mod-mdns, feeds/feed_gmap/apps/gmap-mod-mdns/Makefile, SAH, v0.1.5-1
gmap-mod-name-selector, feeds/feed_gmap/apps/gmap-mod-name-selector/Makefile, BSD-2-Clause-Patent, v1.0.2-1
gmap-mod-self, feeds/feed_gmap/apps/gmap-mod-self/Makefile, BSD-2-Clause-Patent, v1.7.0-1
gmap-mod-services-db, feeds/feed_gmap/apps/gmap-mod-services-db/Makefile, BSD-2-Clause-Patent, v0.2.5-1
gmap-mod-upnp, feeds/feed_gmap/apps/gmap-mod-upnp/Makefile, SAH, v0.3.0-1
gmap-server, feeds/feed_gmap/apps/gmap-server/Makefile, BSD-2-Clause-Patent, v2.14.0-1
gmap-mibs-common, feeds/feed_gmap/configs/gmap-mibs-common/Makefile, BSD-2-Clause-Patent, v0.24.2-1
libgmap-client, feeds/feed_gmap/libs/libgmap-client/Makefile, BSD-2-Clause-Patent, v1.7.1-1
libgmap-ext, feeds/feed_gmap/libs/libgmap-ext/Makefile, BSD-2-Clause-Patent, v1.1.0-1
libamx-mqtt-client, feeds/feed_net_core/libs/libamx-mqtt-client/Makefile, SAH, v0.2.5-1
libipat, feeds/feed_net_core/libs/libipat/Makefile, BSD-2-Clause-Patent, v1.7.1-1
libnetlink-utils, feeds/feed_net_core/libs/libnetlink-utils/Makefile, BSD-2-Clause-Patent, v0.1.2-1
mod-autosensing, feeds/feed_net_core/mods/mod-autosensing/Makefile, BSD-2-Clause-Patent, v0.2.1-1
mod-dhcpv4c, feeds/feed_net_core/mods/mod-dhcpv4c/Makefile, BSD-2-Clause-Patent, v0.13.7-1
mod-dmstats, feeds/feed_net_core/mods/mod-dmstats/Makefile, BSD-2-Clause-Patent, v0.1.3-1
mod-dns-unbound, feeds/feed_net_core/mods/mod-dns-unbound/Makefile, BSD-2-Clause-Patent, v1.6.10-1
mod-logical-api, feeds/feed_net_core/mods/mod-logical-api/Makefile, BSD-2-Clause-Patent, v0.8.6-1
mod-ppp-daemon, feeds/feed_net_core/mods/mod-ppp-daemon/Makefile, BSD-2-Clause-Patent, v0.5.11-1
mod-ra-radvd, feeds/feed_net_core/mods/mod-ra-radvd/Makefile, BSD-2-Clause-Patent, v0.6.0-1
mod-routing-dhcp, feeds/feed_net_core/mods/mod-routing-dhcp/Makefile, BSD-2-Clause-Patent, v0.2.0-1
mod-vlan-ioctl, feeds/feed_net_core/mods/mod-vlan-ioctl/Makefile, BSD-2-Clause-Patent, v0.1.7-1
mod-vlan-uci, feeds/feed_net_core/mods/mod-vlan-uci/Makefile, BSD-2-Clause-Patent, v0.1.4-1
mod-xpon-prpl, feeds/feed_net_core/mods/mod-xpon-prpl/Makefile, BSD-2-Clause-Patent, v1.0.6-1
mod-xpon-prpl-mock, feeds/feed_net_core/mods/mod-xpon-prpl/Makefile, BSD-2-Clause-Patent, v1.0.6-1
dhcpv4-manager, feeds/feed_net_core/plugins/dhcpv4-manager/Makefile, BSD-2-Clause-Patent, v2.12.14-1
dhcpv6s-manager, feeds/feed_net_core/plugins/dhcpv6s-manager/Makefile, BSD-2-Clause-Patent, v0.20.8-1
ethernet-manager, feeds/feed_net_core/plugins/ethernet-manager/Makefile, BSD-2-Clause-Patent, v1.21.11-1
ip-manager, feeds/feed_net_core/plugins/ip-manager/Makefile, BSD-2-Clause-Patent, v1.47.6-1
moca-manager, feeds/feed_net_core/plugins/moca-manager/Makefile, BSD-2-Clause-Patent, v0.5.12-1
netdev-plugin, feeds/feed_net_core/plugins/netdev-plugin/Makefile, BSD-2-Clause-Patent, v1.11.10-1
routing-manager, feeds/feed_net_core/plugins/routing-manager/Makefile, BSD-2-Clause-Patent, v1.20.1-1
tr181-bridging, feeds/feed_net_core/plugins/tr181-bridging/Makefile, BSD-2-Clause-Patent, v2.8.6-1
tr181-dhcpv4client, feeds/feed_net_core/plugins/tr181-dhcpv4client/Makefile, BSD-2-Clause-Patent, v1.26.9-1
tr181-dhcpv4relay, feeds/feed_net_core/plugins/tr181-dhcpv4relay/Makefile, BSD-2-Clause-Patent, v0.5.4-1
tr181-dhcpv6client, feeds/feed_net_core/plugins/tr181-dhcpv6client/Makefile, BSD-2-Clause-Patent, v1.5.7-1
tr181-dns, feeds/feed_net_core/plugins/tr181-dns/Makefile, BSD-2-Clause-Patent, v3.3.0-1
tr181-dslite, feeds/feed_net_core/plugins/tr181-dslite/Makefile, BSD-2-Clause-Patent, v0.10.6-1
tr181-logical, feeds/feed_net_core/plugins/tr181-logical/Makefile, BSD-2-Clause-Patent, v0.8.1-1
tr181-neighbordiscovery, feeds/feed_net_core/plugins/tr181-neighbordiscovery/Makefile, BSD-2-Clause-Patent, v1.1.6-1
tr181-ppp, feeds/feed_net_core/plugins/tr181-ppp/Makefile, BSD-2-Clause-Patent, v0.15.8-1
tr181-routeradvertisement, feeds/feed_net_core/plugins/tr181-routeradvertisement/Makefile, BSD-2-Clause-Patent, v0.18.6-1
tr181-usb, feeds/feed_net_core/plugins/tr181-usb/Makefile, BSD-2-Clause-Patent, v0.9.2-1
tr181-xpon, feeds/feed_net_core/plugins/tr181-xpon/Makefile, BSD-2-Clause-Patent, v1.4.5-1
wan-manager, feeds/feed_net_core/plugins/wan-manager/Makefile, BSD-2-Clause-Patent, v1.6.8-1
libfwinterface, feeds/feed_qos_firewall/libs/libfwinterface/Makefile, BSD-2-Clause-Patent, v1.6.8-1
libfwrules, feeds/feed_qos_firewall/libs/libfwrules/Makefile, BSD-2-Clause-Patent, v2.8.0-1
libpacket-interception, feeds/feed_qos_firewall/libs/libpacket-interception/Makefile, BSD-2-Clause-Patent, v1.0.4-1
libpeafowl, feeds/feed_qos_firewall/libs/libpeafowl/Makefile, MIT, gen_1.1.4_v0.1.0
libqoscommon, feeds/feed_qos_firewall/libs/libqoscommon/Makefile, BSD-2-Clause-Patent, v0.3.0-1
libqosmod, feeds/feed_qos_firewall/libs/libqosmod/Makefile, BSD-2-Clause-Patent, v0.1.6-1
libqosmodule, feeds/feed_qos_firewall/libs/libqosmodule/Makefile, BSD-2-Clause-Patent, v1.0.1-1
libqosnode, feeds/feed_qos_firewall/libs/libqosnode/Makefile, BSD-2-Clause-Patent, v1.3.3-1
mod-fw-amx, feeds/feed_qos_firewall/mods/mod-fw-amx/Makefile, BSD-2-Clause-Patent, v0.3.4-1
mod-fw-host, feeds/feed_qos_firewall/mods/mod-fw-host/Makefile, BSD-2-Clause-Patent, v0.1.3-1
mod-qos-dummy, feeds/feed_qos_firewall/mods/mod-qos-dummy/Makefile, BSD-2-Clause-Patent, v0.0.6-1
mod-qos-tc, feeds/feed_qos_firewall/mods/mod-qos-tc/Makefile, BSD-2-Clause-Patent, v2.3.1-1
packet-interception, feeds/feed_qos_firewall/plugins/packet-interception/Makefile, BSD-2-Clause-Patent, v0.3.2-1
tr181-firewall, feeds/feed_qos_firewall/plugins/tr181-firewall/Makefile, BSD-2-Clause-Patent, v8.7.23-1
tr181-pcp, feeds/feed_qos_firewall/plugins/tr181-pcp/Makefile, BSD-2-Clause-Patent, v0.10.1-1
tr181-qos, feeds/feed_qos_firewall/plugins/tr181-qos/Makefile, BSD-2-Clause-Patent, v4.2.3-1
libbart, feeds/feed_net_services/libs/libbart/Makefile, BSD-2-Clause-Patent, v1.4.2-1
libdiscoping, feeds/feed_net_services/libs/libdiscoping/Makefile, BSD-2-Clause-Patent, v0.11.0-1
libfiletransfer, feeds/feed_net_services/libs/libfiletransfer/Makefile, BSD-2-Clause-Patent, v1.5.0-1
libtr181-schedules, feeds/feed_net_services/libs/libtr181-schedules/Makefile, BSD-2-Clause-Patent, v0.1.3-1
mod-dmext, feeds/feed_net_services/mods/mod-dmext/Makefile, BSD-2-Clause-Patent, v0.11.0-1
mod-dmproxy, feeds/feed_net_services/mods/mod-dmproxy/Makefile, BSD-2-Clause-Patent, v1.4.1-1
mod-dns-failover, feeds/feed_net_services/mods/mod-dns-failover/Makefile, SAH, v1.0.2-1
mod-dns-retry, feeds/feed_net_services/mods/mod-dns-retry/Makefile, BSD-2-Clause-Patent, v3.0.2-1
mod-dnssd-advertisement, feeds/feed_net_services/mods/mod-dnssd-advertisement/Makefile, BSD-2-Clause-Patent, v0.4.5-1
mod-fwi-sysupgrade, feeds/feed_net_services/mods/mod-fwi-sysupgrade/Makefile, BSD-2-Clause-Patent, v0.1.2-1
mod-httpaccess-lighttpd, feeds/feed_net_services/mods/mod-httpaccess-lighttpd/Makefile, BSD-2-Clause-Patent, v0.4.1-1
mod-pcm-svc, feeds/feed_net_services/mods/mod-pcm-svc/Makefile, BSD-2-Clause-Patent, v0.13.3-1
mod-sahtrace, feeds/feed_net_services/mods/mod-sahtrace/Makefile, BSD-2-Clause-Patent, v1.2.2-1
mod-time-dhcpoption, feeds/feed_net_services/mods/mod-time-dhcpoption/Makefile, BSD-2-Clause-Patent, v0.2.0-1
mod-time-tr181-compat, feeds/feed_net_services/mods/mod-time-tr181-compat/Makefile, BSD-2-Clause-Patent, v0.1.1-1
mod-users-passwordvalidation, feeds/feed_net_services/mods/mod-users-passwordvalidation/Makefile, BSD-2-Clause-Patent, v0.1.1-1
amx-processmonitor, feeds/feed_net_services/plugins/amx-processmonitor/Makefile, BSD-2-Clause-Patent, v0.2.4-1
deviceinfo-manager, feeds/feed_net_services/plugins/deviceinfo-manager/Makefile, BSD-2-Clause-Patent, v2.33.33-1
multisettings, feeds/feed_net_services/plugins/multisettings/Makefile, BSD-2-Clause-Patent, v0.11.2-1
pcm-manager, feeds/feed_net_services/plugins/pcm-manager/Makefile, BSD-2-Clause-Patent, v0.19.6-1
ssh-client, feeds/feed_net_services/plugins/ssh-client/Makefile, SAH, v1.0.6-1
ssh-server, feeds/feed_net_services/plugins/ssh-server/Makefile, BSD-2-Clause-Patent, v0.6.19-1
time-manager, feeds/feed_net_services/plugins/time-manager/Makefile, BSD-2-Clause-Patent, v2.7.4-1
tr181-bulkdata, feeds/feed_net_services/plugins/tr181-bulkdata/Makefile, BSD-2-Clause-Patent, v0.6.2-1
tr181-device, feeds/feed_net_services/plugins/tr181-device/Makefile, BSD-2-Clause-Patent, v0.29.7-1
tr181-dnssd, feeds/feed_net_services/plugins/tr181-dnssd/Makefile, BSD-2-Clause-Patent, v0.5.8-1
tr181-dynamicdns, feeds/feed_net_services/plugins/tr181-dynamicdns/Makefile, BSD-2-Clause-Patent, v1.5.6-1
tr181-httpaccess, feeds/feed_net_services/plugins/tr181-httpaccess/Makefile, BSD-2-Clause-Patent, v0.15.7-1
tr181-ipdiagnostics, feeds/feed_net_services/plugins/tr181-ipdiagnostics/Makefile, BSD-2-Clause-Patent, v0.9.20-1
tr181-lanconfigsecurity, feeds/feed_net_services/plugins/tr181-lanconfigsecurity/Makefile, BSD-2-Clause-Patent, v0.4.2-1
tr181-mqtt, feeds/feed_net_services/plugins/tr181-mqtt/Makefile, BSD-2-Clause-Patent, v3.5.6-1
tr181-schedules, feeds/feed_net_services/plugins/tr181-schedules/Makefile, BSD-2-Clause-Patent, v1.0.1-1
tr181-security, feeds/feed_net_services/plugins/tr181-security/Makefile, BSD-2-Clause-Patent, v0.4.6-1
tr181-syslog, feeds/feed_net_services/plugins/tr181-syslog/Makefile, BSD-2-Clause-Patent, v1.6.6-1
tr181-upnp, feeds/feed_net_services/plugins/tr181-upnp/Makefile, BSD-2-Clause-Patent, v0.10.11-1
tr181-upnpdiscovery, feeds/feed_net_services/plugins/tr181-upnpdiscovery/Makefile, BSD-2-Clause-Patent, v0.6.9-1
tr181-usermanagement, feeds/feed_net_services/plugins/tr181-usermanagement/Makefile, BSD-2-Clause-Patent, v0.23.9-1
hosts-manager, feeds/feed_net_hl_services/plugins/hosts-manager/Makefile, BSD-2-Clause-Patent, v0.9.1-1
tr181-captiveportal, feeds/feed_net_hl_services/plugins/tr181-captiveportal/Makefile, BSD-2-Clause-Patent, v0.5.4-1
tr181-mqttbroker, feeds/feed_net_hl_services/plugins/tr181-mqttbroker/Makefile, BSD-2-Clause-Patent, v0.0.29-1
mod-led-scenarios, feeds/feed_peripheral/mods/mod-led-scenarios/Makefile, BSD-2-Clause-Patent, v0.7.2-1
reboot-service, feeds/feed_peripheral/plugins/reboot-service/Makefile, BSD-2-Clause-Patent, v0.2.4-1
tr181-button, feeds/feed_peripheral/plugins/tr181-button/Makefile, BSD-2-Clause-Patent, v0.1.1-1
tr181-led, feeds/feed_peripheral/plugins/tr181-led/Makefile, BSD-2-Clause-Patent, v0.8.2-1
amx-faultmonitor, feeds/feed_debug/plugins/amx-faultmonitor/Makefile, BSD-2-Clause-Patent, v1.0.9-1
oopsmonitor, feeds/feed_debug/plugins/oopsmonitor/Makefile, BSD-2-Clause-Patent, v1.0.5-1
debug-information, feeds/feed_debug/utilities/debug-information/Makefile, BSD-2-Clause-Patent, v0.1.21-1
board-configurator, feeds/feed_board_configuration/utilities/board-configurator/Makefile, BSD-2-Clause-Patent, v1.9.3-1
odl-generator, feeds/feed_board_configuration/utilities/odl-generator/Makefile, BSD-2-Clause-Patent, v1.12.0-1
obuspa, feeds/feed_usp/apps/obuspa/Makefile, BSD-3-Clause, v8.0.7-1
tr181-localagent, feeds/feed_usp/apps/tr181-localagent/Makefile, BSD-2-Clause-Patent, v2.7.5-1
tr181-uds, feeds/feed_usp/apps/tr181-uds/Makefile, BSD-2-Clause-Patent, v0.2.1-1
tr181-uspservices, feeds/feed_usp/apps/tr181-uspservices/Makefile, BSD-2-Clause-Patent, v0.3.2-1
usp-endpoint, feeds/feed_usp/apps/usp-endpoint/Makefile, BSD-2-Clause-Patent, v2.0.8-1
uspagent, feeds/feed_usp/apps/uspagent/Makefile, BSD-2-Clause-Patent, v4.6.10-1
libimtp, feeds/feed_usp/libs/libimtp/Makefile, BSD-2-Clause-Patent, v2.2.0-1
libusp, feeds/feed_usp/libs/libusp/Makefile, BSD-2-Clause-Patent, v2.7.2-1
libuspi, feeds/feed_usp/libs/libuspi/Makefile, BSD-2-Clause-Patent, v1.1.0-1
libuspprotobuf, feeds/feed_usp/libs/libuspprotobuf/Makefile, BSD-3-Clause, v0.5.2-1
mod-amxb-usp, feeds/feed_usp/mods/mod-amxb-usp/Makefile, BSD-2-Clause-Patent, v5.1.2-1
mod-usp-cli, feeds/feed_usp/mods/mod-usp-cli/Makefile, , v0.1.3-1
mod-usp-onboarding, feeds/feed_usp/mods/mod-usp-onboarding/Makefile, , v1.3.5-1
mod-usp-registration, feeds/feed_usp/mods/mod-usp-registration/Makefile, BSD-2-Clause-Patent, v0.1.1-1
cthulhu, feeds/feed_lcm/apps/cthulhu/Makefile, BSD-2-Clause-Patent, v3.9.0-1
rlyeh, feeds/feed_lcm/apps/rlyeh/Makefile, BSD-2-Clause-Patent, v2.4.0-1
timingila, feeds/feed_lcm/apps/timingila/Makefile, BSD-2-Clause-Patent, v2.3.1-1
libcthulhu, feeds/feed_lcm/libs/libcthulhu/Makefile, BSD-2-Clause-Patent, v0.27.0-1
liblcm, feeds/feed_lcm/libs/liblcm/Makefile, BSD-2-Clause-Patent, v0.2.5-1
libocispec, feeds/feed_lcm/libs/libocispec/Makefile, BSD-2-Clause-Patent, 2021-05-15-1
librlyeh, feeds/feed_lcm/libs/librlyeh/Makefile, BSD-2-Clause-Patent, v1.2.0-1
cthulhu-lxc, feeds/feed_lcm/mods/cthulhu-lxc/Makefile, BSD-2-Clause-Patent, v0.10.0-1
timingila-cthulhu, feeds/feed_lcm/mods/timingila-cthulhu/Makefile, BSD-2-Clause-Patent, v2.2.0-1
timingila-rlyeh, feeds/feed_lcm/mods/timingila-rlyeh/Makefile, BSD-2-Clause-Patent, v1.0.8-1
cthulhu-dhcpc, feeds/feed_lcm/plugins/cthulhu/cthulhu-dhcpc/Makefile, BSD-2-Clause-Patent, v1.3.0-1
cthulhu-networking, feeds/feed_lcm/plugins/cthulhu/cthulhu-networking/Makefile, BSD-2-Clause-Patent, v0.2.4-1
cthulhu-onboarding, feeds/feed_lcm/plugins/cthulhu/cthulhu-onboarding/Makefile, BSD-2-Clause-Patent, v1.0.0-1
cthulhu-plugin-usp, feeds/feed_lcm/plugins/cthulhu/cthulhu-plugin-usp/Makefile, BSD-2-Clause-Patent, v0.2.2-1
image-authentication, feeds/feed_lcm/plugins/rlyeh/image-authentication/Makefile, BSD-2-Clause-Patent, v0.1.0-1
libtr69-engine, feeds/feed_tr69/libs/libtr69-engine/Makefile, Apache-2.0, v0.9.6-1
tr069-manager, feeds/feed_tr69/plugins/tr069-manager/Makefile, BSD-2-Clause-Patent, v1.33.12-1
tr157-cwmp-softwaremodules, feeds/feed_tr69/plugins/tr157-cwmp-softwaremodules/Makefile, BSD-2-Clause-Patent, v0.2.0-1
libdhcpoptions, feeds/feed_netmodel/libs/libdhcpoptions/Makefile, BSD-2-Clause-Patent, v0.6.0-1
libnemo-client, feeds/feed_netmodel/libs/libnemo-client/Makefile, BSD-2-Clause-Patent, v0.4.2-1
libnetmodel, feeds/feed_netmodel/libs/libnetmodel/Makefile, BSD-2-Clause-Patent, v1.5.17-1
netmodel-bridge, feeds/feed_netmodel/libs/netmodel-bridge/Makefile, BSD-2-Clause-Patent, v1.0.4-1
netmodel-dhcpv4, feeds/feed_netmodel/libs/netmodel-dhcpv4/Makefile, BSD-2-Clause-Patent, v1.3.0-1
netmodel-dhcpv6, feeds/feed_netmodel/libs/netmodel-dhcpv6/Makefile, BSD-2-Clause-Patent, v1.3.0-1
netmodel-dslite, feeds/feed_netmodel/libs/netmodel-dslite/Makefile, BSD-2-Clause-Patent, v0.1.3-1
netmodel-ethernet, feeds/feed_netmodel/libs/netmodel-ethernet/Makefile, BSD-2-Clause-Patent, v1.0.3-1
netmodel-ip, feeds/feed_netmodel/libs/netmodel-ip/Makefile, BSD-2-Clause-Patent, v1.4.0-1
netmodel-iprouter, feeds/feed_netmodel/libs/netmodel-iprouter/Makefile, BSD-2-Clause-Patent, v0.3.1-1
netmodel-logical, feeds/feed_netmodel/libs/netmodel-logical/Makefile, BSD-2-Clause-Patent, v1.0.2-1
netmodel-moca, feeds/feed_netmodel/libs/netmodel-moca/Makefile, BSD-2-Clause-Patent, v0.1.1-1
netmodel-netdev, feeds/feed_netmodel/libs/netmodel-netdev/Makefile, BSD-2-Clause-Patent, v1.0.4-1
netmodel-ppp, feeds/feed_netmodel/libs/netmodel-ppp/Makefile, BSD-2-Clause-Patent, v0.2.1-1
netmodel-radio, feeds/feed_netmodel/libs/netmodel-radio/Makefile, BSD-2-Clause-Patent, v0.1.2-1
netmodel-ssid, feeds/feed_netmodel/libs/netmodel-ssid/Makefile, BSD-2-Clause-Patent, v0.1.3-1
