pk_name, mk_path, license, version
tr181-dslite, feeds/feed_prpl/network/plugins/tr181-dslite/Makefile, BSD-2-Clause-Patent, v0.8.2-1
tr181-dynamicdns, feeds/feed_prpl/network/plugins/tr181-dynamicdns/Makefile, BSD-2-Clause-Patent, v1.2.1-1
tr181-firewall, feeds/feed_prpl/network/plugins/tr181-firewall/Makefile, BSD-2-Clause-Patent, v6.13.5-1
tr181-httpaccess, feeds/feed_prpl/network/plugins/tr181-httpaccess/Makefile, BSD-2-Clause-Patent, v0.10.3-1
tr181-ipdiagnostics, feeds/feed_prpl/network/plugins/tr181-ipdiagnostics/Makefile, BSD-2-Clause-Patent, v0.6.0-1
tr181-led, feeds/feed_prpl/network/plugins/tr181-led/Makefile, BSD-2-Clause-Patent, v0.4.7-1
tr181-logical, feeds/feed_prpl/network/plugins/tr181-logical/Makefile, BSD-2-Clause-Patent, v0.6.1-1
tr181-neighbordiscovery, feeds/feed_prpl/network/plugins/tr181-neighbordiscovery/Makefile, BSD-2-Clause-Patent, v0.8.2-1
tr181-pcp, feeds/feed_prpl/network/plugins/tr181-pcp/Makefile, BSD-2-Clause-Patent, v0.7.2-1
tr181-ppp, feeds/feed_prpl/network/plugins/tr181-ppp/Makefile, BSD-2-Clause-Patent, v0.13.4-1
tr181-qos, feeds/feed_prpl/network/plugins/tr181-qos/Makefile, BSD-2-Clause-Patent, v3.3.12-1
tr181-routeradvertisement, feeds/feed_prpl/network/plugins/tr181-routeradvertisement/Makefile, BSD-2-Clause-Patent, v0.14.6-1
tr181-security, feeds/feed_prpl/network/plugins/tr181-security/Makefile, BSD-2-Clause-Patent, v0.3.0-1
tr181-syslog, feeds/feed_prpl/network/plugins/tr181-syslog/Makefile, BSD-2-Clause-Patent, v1.5.4-1
tr181-upnp, feeds/feed_prpl/network/plugins/tr181-upnp/Makefile, BSD-2-Clause-Patent, v0.6.4-1
tr181-usermanagement, feeds/feed_prpl/network/plugins/tr181-usermanagement/Makefile, BSD-2-Clause-Patent, v0.14.1-1
tr181-xpon, feeds/feed_prpl/network/plugins/tr181-xpon/Makefile, BSD-2-Clause-Patent, v1.4.0-1
wan-autosensing, feeds/feed_prpl/network/plugins/wan-autosensing/Makefile, BSD-2-Clause-Patent, v0.3.0-1
wan-manager, feeds/feed_prpl/network/plugins/wan-manager/Makefile, BSD-2-Clause-Patent, v1.1.0-1
debug-information, feeds/feed_prpl/network/utilities/debug-information/Makefile, BSD-2-Clause-Patent, v0.1.18-1
odl-generator, feeds/feed_prpl/network/utilities/odl-generator/Makefile, BSD-2-Clause-Patent, v1.7.0-1
prpl-webui, feeds/feed_prpl/network/utilities/prpl-webui/Makefile, BSD-2-Clause-Patent, 0.2.7-1
tr181-rest-api, feeds/feed_prpl/network/utilities/tr181-rest-api/Makefile, BSD-2-Clause-Patent, v0.1.1-1
obuspa, feeds/feed_prpl/obuspa/Makefile, BSD-3-Clause, v8.0.4-prpl-integration3-1
prplmesh, feeds/feed_prpl/prplmesh/Makefile, , 4.2.3-1
prplmesh-unit-tests, feeds/feed_prpl/prplmesh/Makefile, , 4.2.3-1
libswla, feeds/feed_prpl/prplmesh/libs/libswla/Makefile, BSD-2-Clause-Patent, v3.12.0-1
